Data;Taxa de juros prefixada - estrutura a termo - LTN - 12 meses - (% a.a.) - Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais (Anbima) - ANBIMA366_TJTLN12366
16/12/2018;
17/12/2018;6,5666
18/12/2018;6,5666
19/12/2018;6,5996
20/12/2018;6,5773
21/12/2018;6,5462
22/12/2018;6,5626
23/12/2018;
24/12/2018;6,569
25/12/2018;6,569
26/12/2018;6,5814
27/12/2018;6,5814
28/12/2018;6,5673
29/12/2018;6,5557
30/12/2018;
31/12/2018;6,5607
01/01/2019;6,5607
02/01/2019;6,4512
03/01/2019;6,4512
04/01/2019;6,4902
05/01/2019;6,5321
06/01/2019;
07/01/2019;6,6066
08/01/2019;6,6066
09/01/2019;6,6073
10/01/2019;6,6088
11/01/2019;6,6639
12/01/2019;6,655
13/01/2019;
14/01/2019;6,6129
15/01/2019;6,6129
16/01/2019;6,6464
17/01/2019;6,6457
18/01/2019;6,6005
19/01/2019;6,5697
20/01/2019;
21/01/2019;6,5846
22/01/2019;6,5846
23/01/2019;6,5165
24/01/2019;6,4878
25/01/2019;6,501
26/01/2019;6,5041
27/01/2019;
28/01/2019;6,5128
29/01/2019;6,5128
30/01/2019;6,4718
31/01/2019;6,4756
01/02/2019;6,4143
02/02/2019;6,3883
03/02/2019;
04/02/2019;6,4152
05/02/2019;6,4152
06/02/2019;6,4206
07/02/2019;6,4011
08/02/2019;6,5147
09/02/2019;6,5908
10/02/2019;
11/02/2019;6,5878
12/02/2019;6,5878
13/02/2019;6,5464
14/02/2019;6,4695
15/02/2019;6,442
16/02/2019;6,4034
17/02/2019;
18/02/2019;6,4319
19/02/2019;6,4336
20/02/2019;6,4665
21/02/2019;6,4924
22/02/2019;6,49
23/02/2019;
24/02/2019;
25/02/2019;6,5074
26/02/2019;6,5401
27/02/2019;6,5105
28/02/2019;6,5623
01/03/2019;6,5575
02/03/2019;
03/03/2019;
04/03/2019;
05/03/2019;
06/03/2019;6,5799
07/03/2019;6,5743
08/03/2019;6,546
09/03/2019;
10/03/2019;
11/03/2019;6,5127
12/03/2019;6,4872
13/03/2019;6,4122
14/03/2019;6,4492
15/03/2019;6,447
16/03/2019;
17/03/2019;
18/03/2019;6,4193
19/03/2019;6,4174
20/03/2019;6,3788
21/03/2019;6,3865
22/03/2019;6,5407
23/03/2019;
24/03/2019;
25/03/2019;6,4888
26/03/2019;6,5167
27/03/2019;6,6368
28/03/2019;6,5567
29/03/2019;6,5947
30/03/2019;
31/03/2019;
01/04/2019;6,5329
02/04/2019;6,5203
03/04/2019;6,5499
04/04/2019;6,5539
05/04/2019;6,5239
06/04/2019;
07/04/2019;
08/04/2019;6,5363
09/04/2019;6,5676
10/04/2019;6,5447
11/04/2019;6,5799
12/04/2019;6,5729
13/04/2019;
14/04/2019;
15/04/2019;6,5433
16/04/2019;6,5371
17/04/2019;6,5459
18/04/2019;6,4889
19/04/2019;
20/04/2019;
21/04/2019;
22/04/2019;6,4816
23/04/2019;6,4586
24/04/2019;6,5176
25/04/2019;6,5485
26/04/2019;6,579
27/04/2019;
28/04/2019;
29/04/2019;6,615
30/04/2019;6,6115
01/05/2019;
02/05/2019;6,636
03/05/2019;6,5803
04/05/2019;
05/05/2019;
06/05/2019;6,5534
07/05/2019;6,5538
08/05/2019;6,5281
09/05/2019;6,4773
10/05/2019;6,4469
11/05/2019;
12/05/2019;
13/05/2019;6,4735
14/05/2019;6,435
15/05/2019;6,4261
16/05/2019;6,4921
17/05/2019;6,5821
18/05/2019;
19/05/2019;
20/05/2019;6,5228
21/05/2019;6,4688
22/05/2019;6,4605
23/05/2019;6,4185
24/05/2019;6,407
25/05/2019;
26/05/2019;
27/05/2019;6,3831
28/05/2019;6,2993
29/05/2019;6,3024
30/05/2019;6,2901
31/05/2019;6,2278
01/06/2019;
02/06/2019;
03/06/2019;6,2071
04/06/2019;6,1633
05/06/2019;6,2318
06/06/2019;6,1952
07/06/2019;6,1125
08/06/2019;
09/06/2019;
10/06/2019;6,0664
11/06/2019;6,0378
12/06/2019;6,0426
13/06/2019;5,946
14/06/2019;5,9008
15/06/2019;
16/06/2019;
17/06/2019;5,9206
18/06/2019;5,9152
19/06/2019;5,9381
20/06/2019;
21/06/2019;5,7803
22/06/2019;
23/06/2019;
24/06/2019;5,7768
25/06/2019;5,8691
26/06/2019;5,872
27/06/2019;5,8494
28/06/2019;5,7844
29/06/2019;
30/06/2019;
01/07/2019;5,7561
02/07/2019;5,7728
03/07/2019;5,7525
04/07/2019;5,6896
05/07/2019;5,6399
06/07/2019;
07/07/2019;
08/07/2019;5,6083
09/07/2019;5,608
10/07/2019;5,5694
11/07/2019;5,5648
12/07/2019;5,5582
13/07/2019;
14/07/2019;
15/07/2019;5,5236
16/07/2019;5,5311
17/07/2019;5,5333
18/07/2019;5,4901
19/07/2019;5,4734
20/07/2019;
21/07/2019;
22/07/2019;5,4374
23/07/2019;5,3797
24/07/2019;5,363
25/07/2019;5,3993
26/07/2019;5,406
27/07/2019;
28/07/2019;
29/07/2019;5,3903
30/07/2019;5,3667
31/07/2019;5,4398
01/08/2019;5,3325
02/08/2019;5,3472
03/08/2019;
04/08/2019;
05/08/2019;5,475
06/08/2019;5,4053
07/08/2019;5,3492
08/08/2019;5,3175
09/08/2019;5,294
10/08/2019;
11/08/2019;
12/08/2019;5,305
13/08/2019;5,2986
14/08/2019;5,3616
15/08/2019;5,3477
16/08/2019;5,2865
17/08/2019;
18/08/2019;
19/08/2019;5,3366
20/08/2019;5,3175
21/08/2019;5,2493
22/08/2019;5,2604
23/08/2019;5,3072
24/08/2019;
25/08/2019;
26/08/2019;5,3649
27/08/2019;5,4278
28/08/2019;5,4741
29/08/2019;5,4488
30/08/2019;5,3821
31/08/2019;
01/09/2019;
02/09/2019;5,4125
03/09/2019;5,358
04/09/2019;5,2956
05/09/2019;5,2671
06/09/2019;5,2546
07/09/2019;
08/09/2019;
09/09/2019;5,2168
10/09/2019;5,2256
11/09/2019;5,2508
12/09/2019;5,2118
13/09/2019;5,2338
14/09/2019;
15/09/2019;
16/09/2019;5,1378
17/09/2019;5,0876
18/09/2019;5,1012
19/09/2019;4,916
20/09/2019;4,8775
21/09/2019;
22/09/2019;
23/09/2019;4,9142
24/09/2019;4,9221
25/09/2019;4,909
26/09/2019;4,8825
27/09/2019;
28/09/2019;
29/09/2019;4,8656
30/09/2019;4,8521
01/10/2019;4,8489
02/10/2019;4,8415
03/10/2019;4,7775
04/10/2019;4,7683
05/10/2019;
06/10/2019;
07/10/2019;4,782
08/10/2019;4,7306
09/10/2019;4,6282
10/10/2019;4,5697
11/10/2019;4,5241
12/10/2019;
13/10/2019;
14/10/2019;4,4988
15/10/2019;4,5356
16/10/2019;4,4555
17/10/2019;4,4086
18/10/2019;4,3965
19/10/2019;
20/10/2019;
21/10/2019;4,3914
22/10/2019;4,4807
23/10/2019;4,445
24/10/2019;4,4176
25/10/2019;
26/10/2019;
27/10/2019;
28/10/2019;4,3444
29/10/2019;4,3207
30/10/2019;4,302
31/10/2019;4,4383
01/11/2019;4,4227
02/11/2019;
03/11/2019;
04/11/2019;4,4469
05/11/2019;4,453
06/11/2019;4,4424
07/11/2019;4,477
08/11/2019;4,4914
09/11/2019;
10/11/2019;
11/11/2019;4,4604
12/11/2019;4,5004
13/11/2019;4,5519
14/11/2019;4,5705
15/11/2019;
16/11/2019;
17/11/2019;
18/11/2019;4,5948
19/11/2019;4,5837
20/11/2019;4,5876
21/11/2019;4,6553
22/11/2019;4,5817
23/11/2019;
24/11/2019;
25/11/2019;4,5836
26/11/2019;4,6661
27/11/2019;4,6831
28/11/2019;4,6329
29/11/2019;4,6415
30/11/2019;
01/12/2019;
02/12/2019;4,688
03/12/2019;4,6606
04/12/2019;4,6286
05/12/2019;4,6605
06/12/2019;4,5737
07/12/2019;
08/12/2019;
09/12/2019;4,5891
10/12/2019;4,5877
11/12/2019;4,5934
12/12/2019;4,5323
13/12/2019;4,5144
14/12/2019;
15/12/2019;
16/12/2019;4,546
17/12/2019;4,635
18/12/2019;4,6011
19/12/2019;4,6582
20/12/2019;4,6363
21/12/2019;
22/12/2019;
23/12/2019;4,6307
24/12/2019;4,6335
25/12/2019;
26/12/2019;4,5924
27/12/2019;4,5919
28/12/2019;
29/12/2019;
30/12/2019;4,5668
31/12/2019;4,5696
01/01/2020;
02/01/2020;4,5375
03/01/2020;4,5341
04/01/2020;
05/01/2020;
06/01/2020;4,545
07/01/2020;4,5083
08/01/2020;4,474
09/01/2020;4,4695
10/01/2020;4,497
11/01/2020;
12/01/2020;
13/01/2020;4,5111
14/01/2020;4,4642
15/01/2020;4,3945
16/01/2020;4,46
17/01/2020;4,4266
18/01/2020;
19/01/2020;
20/01/2020;4,4425
21/01/2020;4,4057
22/01/2020;4,35
23/01/2020;4,3869
24/01/2020;4,3795
25/01/2020;
26/01/2020;
27/01/2020;4,3258
28/01/2020;4,3653
29/01/2020;4,3686
30/01/2020;4,3963
31/01/2020;4,4223
01/02/2020;
02/02/2020;
03/02/2020;4,372
04/02/2020;4,3517
05/02/2020;4,3445
06/02/2020;4,412
07/02/2020;4,3419
08/02/2020;
09/02/2020;
10/02/2020;4,3288
11/02/2020;4,295
12/02/2020;4,2786
13/02/2020;4,3175
14/02/2020;4,2785
15/02/2020;
16/02/2020;
17/02/2020;4,2721
18/02/2020;4,2735
19/02/2020;4,2408
20/02/2020;4,2553
21/02/2020;4,2574
22/02/2020;
23/02/2020;
24/02/2020;
25/02/2020;
26/02/2020;4,2867
27/02/2020;4,2224
28/02/2020;4,1522
29/02/2020;
01/03/2020;
02/03/2020;3,975
03/03/2020;3,876
04/03/2020;3,8261
05/03/2020;3,9623
06/03/2020;3,9192
07/03/2020;
08/03/2020;
09/03/2020;4,0806
10/03/2020;4,0029
11/03/2020;4,3472
12/03/2020;5,2238
13/03/2020;4,4936
14/03/2020;
15/03/2020;
16/03/2020;4,0563
17/03/2020;3,7573
18/03/2020;4,4033
19/03/2020;4,3857
20/03/2020;4,3012
21/03/2020;
22/03/2020;
23/03/2020;4,1023
24/03/2020;3,8206
25/03/2020;3,542
26/03/2020;3,5951
27/03/2020;3,622
28/03/2020;
29/03/2020;
30/03/2020;3,488
31/03/2020;3,3265
01/04/2020;3,3743
02/04/2020;3,3002
03/04/2020;3,2809
04/04/2020;
05/04/2020;
06/04/2020;3,3801
07/04/2020;3,3005
08/04/2020;3,2879
09/04/2020;3,2152
10/04/2020;
11/04/2020;
12/04/2020;
13/04/2020;3,142
14/04/2020;3,1063
15/04/2020;3,1326
16/04/2020;3,1468
17/04/2020;3,1224
